LNG,Data,Viti,Muaji,Instituti,GROUPNAME,PARASHIKIM,Kolona 1,Kolona 2,Kolona 3,Kolona 4,Kolona 5,Shuma
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Banderols,,,,"380,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,"Costums tax on import, cigarettes etc",,,,"74,696,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Customs returns,,,,"-245,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Customs tax on import,,,,"104,100,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Excise returns,,,,"-320,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,External customs control,,,,"100,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,External exise on the border,,,,"157,940,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Fast-Customs,,,,"63,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Fine revenues,,,,"1,055,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Goods sale,,,,"407,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Other custom taxes,,,,"595,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Return of various customs taxes,,,,"-82,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,Value added tax ( VAT) on the border,,,,"361,321,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Customs,VAT Return,,,,"-624,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Grants and assistance,Grants for budgetary support,,,,"30,000,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Grants and assistance,Set donor grants,,,,"15,342,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Airport dividend,,,,"5,000,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,AKP - the rent from inventory,,,"23,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits of regulatory commission,,,"37,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Deposits return of salaries,,,"1,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Depozitat e KGJK-së,,,"294,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Gambling deposits,,,"150,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Kosovo Property Agency,,,"63,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Deposition Fund,Special chamber deposits,,,"9,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Vehicle registration taxes,,"7,017,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Road taxes,,"10,401,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on travel documents,,"6,346,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,ID taxes,,"1,151,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Driving licence taxes,,"3,194,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Verification of various documents,,"802,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Administrative taxes for the letter of request,,"169,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Participation on tenders,,"46,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Citizenship taxes,,"881,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Administrative tax revenues,Taxes on fire protection,,"18,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Fine- sentence ravenvues,,,"386,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Inspection,,,"3,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Licence revenues,,,"2,068,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Other non taxable revenues,,,"54,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Revenues from rents of public facilities,,,"16,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Fines and Tariffs,Service/asset revenues,,,"784,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Interest,,,,"6,346,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Interest on loan given KEK,,,,"5,371,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,International Monetary Fund,,,,"22,093,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Other,Compensation of fines of insurance comapanies,,,"12,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Other,Payments returned by KEK,,,"588,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Other,Previous year Revenues,,,"1,044,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Other,Return of advace from last year,,,"27,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,Other,Return of the funds from public enterprises,,,"686,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Other admissions,PTK dividends,,,,"80,000,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Administrative tax revenues,,,"5,591,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Fine- sentence,,,"2,058,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Inspection,,,"5,315,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Licence,,,"20,823,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Participation,,,"11,918,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Revenues from rents of public facilities,,,"24,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Central Budgetary organizations,Service/asset,,,"2,724,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Own source Revenues,Municipalities,,,,"52,028,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,"Interes tax, divident, rent, gambling",,,,"1,533,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Licence on games,,,,"1,424,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Non specified taxes,,,,"734,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Personal income tax,,,,"44,232,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Presumptive tax,,,,"284,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Profit tax,,,,"583,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Sentence ravenvues,,,,"25,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Tax on corporate income,,,,"51,946,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Tax on individual business,,,,"25,467,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Tax returns from tax administration,,,,"-27,017,000.00€"
Eng,1/1/2010,2010,1,Kosovo Budget - Revenues,Buxheti i Përgjithshëm,0,Tax Administration,Value added tax,,,,"95,008,000.00€"
